"","id","totalpop","less25","25to50","50to75","75to99","100to150","150to200","morethan200"
"1","1001157",284.666666666667,21.2833333333333,16.7,13.6166666666667,14.6166666666667,20.55,9.53333333333333,3.66666666666667
"2","1002150",603.666666666667,8.06666666666667,19.1,23.6666666666667,15.6666666666667,15.7333333333333,14.7333333333333,3.1
"3","1002440",673.2,11.02,20.66,11.88,8.58,27.58,6.54,13.76
"4","1002515",2291.33333333333,5.83333333333333,4.9,39.3,3.93333333333333,40.2,4.26666666666667,1.56666666666667
"5","1003698",70,21.4,27.1,45.7,5.7,0,0,0
"6","1003719",240.857142857143,12.6285714285714,13.0571428571429,13.7857142857143,15.0285714285714,25.1,9.21428571428572,11.2285714285714
"7","1003767",840.333333333333,20.5333333333333,17.8333333333333,13,14.8333333333333,16.3,4.4,13.0333333333333
"8","1004617",5417,7.6,8.25,8.35,7.05,60.35,5.05,3.4
"9","1004893",4522.75,18.75,16.375,17.325,11,14.1,16.7,5.725
"10","1004924",999,17.7,28.2166666666667,20.3666666666667,11.6333333333333,15.55,2.76666666666667,3.73333333333333
"11","1005641",5410,20.65,11.825,20.525,11.325,12.25,17.525,5.9
"12","1005661",1715.51515151515,17.8515151515152,19.0575757575758,17.3242424242424,14.1515151515152,21.0333333333333,4.91818181818182,5.66060606060606
"13","1005691",978,29.525,16.85,13.175,15.075,13.275,10.925,1.15
"14","1005897",1481.33333333333,18.8333333333333,21.7333333333333,14.0666666666667,12.4666666666667,21.7333333333333,8.4,2.76666666666667
"15","1006225",90,23.1,18.6,23.95,6.25,18.9,5.5,3.7
"16","1007367",1233,22.5666666666667,12.6333333333333,25.4,11.8333333333333,15.3666666666667,5.4,6.73333333333333
"17","1007441",5184.66666666667,18.1666666666667,17.6333333333333,19.2666666666667,9.26666666666667,13.4,18.1666666666667,4.06666666666667
"18","1008412",790.666666666667,16.1666666666667,9.66666666666667,14.1,9.9,13.7666666666667,35.4333333333333,1
"19","1008432",37,0,0,100,0,0,0,0
"20","1009570",1535,10.85,16.7,20.3,25.2,12.95,5.05,8.95
"21","1009630",2338.75,32.125,24.4,10.725,10.075,14.1125,2.6375,5.95
"22","1009631",2321.14285714286,36.7857142857143,23.6428571428571,13.3142857142857,9.68571428571429,8.22857142857143,2.08571428571429,6.21428571428571
"23","1009632",1205.71428571429,39.4142857142857,16.2714285714286,15.2571428571429,9.92857142857143,12.6857142857143,3.15714285714286,3.28571428571429
"24","1009633",2868.4,36.89,20.88,18.8,9.46,9.14,2.3,2.51
"25","1009634",10161.3142857143,15.52,18.8485714285714,16.9171428571429,12.3528571428571,16.0042857142857,8.37,11.9871428571429
"26","1009635",2080.38461538462,34.5076923076923,22.2769230769231,17.0538461538462,11.1461538461538,10.1538461538462,3.02307692307692,1.84615384615385
"27","1009636",3504.9,27.71,33.97,14.04,9.38,8.23,3.26,3.42
"28","1009637",7101.38235294118,19.25,19.1470588235294,16.1558823529412,11.7382352941176,18.0676470588235,7.57941176470588,8.02647058823529
"29","1009638",2821.625,28.025,27.6875,14.9,10.5375,10.85,3.95,4.0625
"30","1009641",712.25,16.0375,17.9375,24,11.55,16.4625,7.1375,6.875
"31","1009642",2898,26.96,23.04,18.52,12.05,12.68,4.63,2.1
"32","1009643",1786.11111111111,18.4666666666667,17.5333333333333,36.2,6.32222222222222,12.0888888888889,5.22222222222222,4.16666666666667
"33","1009646",1881.33333333333,13.3,20.2333333333333,26.5333333333333,8.13333333333333,13.7,13.5333333333333,4.6
"34","1009704",8633.33333333333,14.8833333333333,13.9,16.3666666666667,13.2166666666667,21.75,9.68333333333333,10.25
"35","1009739",1535,10.85,16.7,20.3,25.2,12.95,5.05,8.95
"36","1009740",5873,13.6,16.25,16.55,13.95,19.55,10.7,9.4
"37","1009751",633.666666666667,18.4666666666667,13.9,12.5666666666667,14.6333333333333,20.8,6.9,12.6333333333333
"38","1009752",8561.71428571429,14.6142857142857,14.1857142857143,15.3285714285714,13.3285714285714,22.2142857142857,9.62857142857143,10.7285714285714
"39","1009799",3523.07692307692,26.9076923076923,21.8,16.1384615384615,13.4692307692308,13.4461538461538,4.30769230769231,3.96923076923077
"40","1009858",1054.2,18.92,27.14,12.02,9.14,21.62,4.56,6.64
"41","1009861",2951,19.3666666666667,18.4333333333333,14.5,14.0666666666667,17.5,8.2,7.93333333333333
"42","1009875",930,17.7166666666667,27.5833333333333,12.8166666666667,10.05,20.6,5.25,6.01666666666667
"43","1009926",304,23.75,16.9,40.5,1.6,3.1,10.6,3.55
"44","1009929",240.625,24.85,31.0375,17.7375,8.675,12.1625,3.9625,1.525
"45","1009946",946.8,10.4,25.02,19.1,17.98,17.14,5.54,4.82
"46","1009947",1136.25,10.875,26.9,19.125,17.45,15.6,4.55,5.5
"47","1009956",11922.2688172043,11.0989247311828,13.1301075268817,15.1129032258065,13.4279569892473,19.6666666666667,11.305376344086,16.2677419354839
"48","1009997",640.714285714286,19.9857142857143,21.2857142857143,19.8,21.0142857142857,10.2428571428571,3.27142857142857,4.42857142857143
"49","1009998",1136.25,10.875,26.9,19.125,17.45,15.6,4.55,5.5
"50","1009999",1200.5,29.1,18.575,10.4,18.1,13.925,4.4,5.575
"51","1010032",1196.25,32.9,9.4,19.85,11.875,17.575,1.35,7.05
"52","1010072",1881.33333333333,13.3,20.2333333333333,26.5333333333333,8.13333333333333,13.7,13.5333333333333,4.6
"53","1010089",1104.5,13.275,14.325,23.9,12.075,24.725,8.775,2.8
"54","1010117",1943.375,16.975,23.8375,21.3,14.85,15.325,4.6875,3.025
"55","1010178",1726.66666666667,19.8333333333333,23.4666666666667,22.5,13.4,14.3333333333333,4.86666666666667,1.53333333333333
"56","1010199",1726.66666666667,19.8333333333333,23.4666666666667,22.5,13.4,14.3333333333333,4.86666666666667,1.53333333333333
"57","1010206",1726.66666666667,19.8333333333333,23.4666666666667,22.5,13.4,14.3333333333333,4.86666666666667,1.53333333333333
"58","1010318",1136.88888888889,30.3444444444444,27.4666666666667,16.9222222222222,8.18888888888889,12.7555555555556,3.02222222222222,1.28888888888889
"59","1010324",2117.6,19.65,25.65,20.07,13.7,13.84,4.66,2.4
"60","1010407",3077.28571428571,16.5571428571429,22.5285714285714,19.7857142857143,19.2714285714286,15.9428571428571,3.92857142857143,2.04285714285714
"61","1010420",940,15.1,15.7,23.3,13.7,28.4,2.2,1.6
"62","1010440",954.666666666667,17.6333333333333,26.8583333333333,18.5666666666667,14.65,13.3666666666667,4.88333333333333,4.06666666666667
"63","1010507",929.777777777778,18.3333333333333,32.4,14.7666666666667,12.8666666666667,11.9888888888889,6.76666666666667,2.88888888888889
"64","1010508",929.777777777778,18.3333333333333,32.4,14.7666666666667,12.8666666666667,11.9888888888889,6.76666666666667,2.88888888888889
"65","1010657",1048.5,20.8,38.15,11.7,15.65,8,3.15,2.55
"66","1010975",1152.16666666667,15.3166666666667,24.3666666666667,24.1666666666667,10.9,15.4166666666667,5.23333333333333,4.51666666666667
"67","1011064",822,31.3,13.2,25.4,6.9,9.9,11.9,1.3
"68","1011121",169.333333333333,12.1666666666667,28.6333333333333,23.0333333333333,5.66666666666667,13.6333333333333,13.1,3.73333333333333
"69","1011122",13,0,100,0,0,0,0,0
"70","1011158",929.777777777778,18.3333333333333,32.4,14.7666666666667,12.8666666666667,11.9888888888889,6.76666666666667,2.88888888888889
"71","1011356",37,0,0,100,0,0,0,0
"72","1011385",210.5,19.1,28.05,11.95,22.5,13.7,2.9,1.85
"73","1011767",1535,10.85,16.7,20.3,25.2,12.95,5.05,8.95
"74","1011843",3375.66666666667,16.0333333333333,16.7333333333333,14.8666666666667,17.3333333333333,15.1333333333333,9.96666666666667,9.93333333333333
"75","1011908",3911.33333333333,11.6,17.2,18.1666666666667,14.5,21.4,4.13333333333333,12.9666666666667
"76","1011931",8561.71428571429,14.6142857142857,14.1857142857143,15.3285714285714,13.3285714285714,22.2142857142857,9.62857142857143,10.7285714285714
"77","1012091",3203,22,16.75,14.05,11.85,20.45,9.65,5.3
"78","1012092",4187,12.25,9.3,15.2,13.15,25.3,10.675,14.2
"79","1012121",4522.75,18.75,16.375,17.325,11,14.1,16.7,5.725
"80","1012519",978,29.525,16.85,13.175,15.075,13.275,10.925,1.15
"81","1012642",488,29.7,19.9,15.2,12.1,20.3,2.7,0.2
"82","1012643",1014.14285714286,17.3,27.2142857142857,19.9285714285714,12.4571428571429,15.1857142857143,3.94285714285714,3.94285714285714
"83","1012677",488,29.7,19.9,15.2,12.1,20.3,2.7,0.2
"84","1012688",1048.5,20.8,38.15,11.7,15.65,8,3.15,2.55
"85","1012703",488,29.7,19.9,15.2,12.1,20.3,2.7,0.2
"86","1013183",912,8.76666666666667,17.6666666666667,12.2666666666667,8.5,25.5666666666667,13.4,13.7666666666667
"87","1013609",1024,7.23333333333333,11.1333333333333,46.8666666666667,16.8,8.63333333333333,3.36666666666667,5.96666666666667
"88","1013701",1535,10.85,16.7,20.3,25.2,12.95,5.05,8.95
"89","1013793",3203,22,16.75,14.05,11.85,20.45,9.65,5.3
"90","1013810",1072.27272727273,13,13.8818181818182,30.5909090909091,13.5818181818182,14.6545454545455,10.2363636363636,4.05454545454545
"91","1013859",1869,14.0666666666667,15.3333333333333,17.3666666666667,22.2,14.0333333333333,7.46666666666667,9.53333333333333
"92","1014467",1481.33333333333,18.8333333333333,21.7333333333333,14.0666666666667,12.4666666666667,21.7333333333333,8.4,2.76666666666667
"93","1014560",2289.41176470588,10.2647058823529,18.8705882352941,15.8117647058824,16.1058823529412,21.2941176470588,8.63529411764706,9.02352941176471
"94","1014609",417,16,11.2,23.6,10.2,23.3333333333333,6.13333333333333,9.56666666666667
"95","1014619",359,15.2666666666667,7.4,48.1333333333333,8.86666666666667,13.2,1.86666666666667,5.3
